Id,Name,Calories,FileName,Fat,Salt,Sugar,Saturates,ExpiresIn,EffectId,EffectAmount
1,Carrot,30,Carrot,0.2,0.05,3.4,0,5,10,1
2,Egg,78,Egg,3.4,0.062,0.6,1.6,4,13,1
3,Milk,42,Milk,3,0.044,5,0.6,3,11,1
4,Chicken,60,Chicken,3.6,0.08,0,1,2,1,0
5,Bread,75,BrownBread,0.8,0.14,1.5,0.2,4,14,1
6,Pasta,158,Pasta,0.5,0.034,0.8,0.1,3,2,2
7,Salmon,206,Salmon,9.6,0.061,0,2.4,2,9,1
8,Cheese,112,Cheese,3.37,0.17,0.15,4,4,13,2
9,Crisps,150,Crisps,8.8,0.4,0.4,1.1,5,2,1
10,Ham,45,Ham,2,0.32,0,1,3,1,0
11,Rice,130,Rice,0.3,0.001,0.1,0.1,3,,
12,Porridge,100,Porridge,2,0,1,0.2,2,,
13,Baked Potato,160,Potatoes,0.2,0.024,1.2,0.1,2,,
14,Lentils,116,Lentils,0.4,0.002,1.8,0.1,4,,
15,Peas,84,Peas,0.8,0.1,5,0.1,3,,
16,Beef,250,Beef,15,0.075,0,6.8,2,,
17,Pork,242,Pork,14,0.046,0,7.7,2,,
18,Brocolli,34,Brocolli,0.4,0.041,1.7,0.1,5,,
19,Spinach,23,Spinach,0.4,0.097,0.4,0.1,3,,
20,Tomato,18,Tomato,0.2,0.005,2.6,0,5,,
21,Chickpeas,164,Chickpeas,2.4,0.007,4.8,0.4,3,,
22,Banana,89,Banana,0.3,0.001,12,0.1,3,,
23,Avocado,160,Avocado,12,0.007,0.7,2,2,,
24,Mushrooms,30,Mushrooms,0.4,0.01,0,0,3,,
25,Zucchini,17,Zucchini,0.2,0.001,2.5,0.1,5,,
26,Kidney Beans,127,KidneyBeans,0.4,0.002,0.3,0.1,4,,
27,Apple,52,Apple,0.2,0.001,10,0,5,,
28,Peach,39,Peach,0.25,0.003,6.6,0.02,4,,
29,Cauliflower,25,Cauliflower,0.3,0.03,1.9,0,3,,
30,Pepper,30,Pepper,0.3,0.04,4.4,0,4,,
31,Sardines,208,Sardines,9,0.3,0,1.5,1,,
32,Prawns,115,Prawns,2,0.5,0,1,1,,
33,Lettuce,17,Lettuce,0.3,0.012,2,0,3,,
34,Onions,40,Onions,0.2,0.004,4.2,0,5,,
35,Yogurt,60,Yogurt,1.5,0.077,6,2,5,,
36,Peanuts,180,Peanuts,13,0.2,2,2,5,,
37,Chocolate,200,Chocolate,5,0.03,15,11,5,,
38,Coffee,2.4,Coffee,0,0.048,4,0,5,,
39,Orange,73,Orange,0.2,0.013,9,0,3,,
40,Duck,119,Duck,1.5,0.089,0,1.1,2,,
41,Tuna,120,Tuna,0.5,0.14,0,0.8,2,,
42,Feta,75,Feta,1.8,0.26,0.5,0,2,,
43,Grapes,68,Grapes,0.2,0.002,15,0.1,4,,
45,Strawberries,32,Strawberries,0.3,0.001,4.9,0,2,,
46,Cupcake,250,Cupcake,12,0.2,25,5,3,,
47,Muesli,150,Muesli,3,0.3,8,2,5,,
48,Butter,100,Butter,4,0.09,0,7,4,,
49,Jam,56,Jam,0,0.08,10,0,5,,
50,Tofu,80,Tofu,4,0.007,1.5,0,3,,
